main-captions	MSRvid	2012test	1	1	The practice is often to ask for a quorum and then leave the hemicycle.	The practice is often to ask for a quorum and then leave the hemicycle.
main-captions	MSRvid	2012test	38	0	Indeed, you responded in the same way, as I knew you would do it.	Indeed you responded in kind, as I knew you would do.
main-captions	MSRvid	2012test	40	1	If we miss it, we will have lost more.	If we botch it, we will have lost more.
main-captions	MSRvid	2012test	42	0	As you know, the Iraqi government has refused to comply with UN Resolution 1284, which will probably lead to a refusal in the next six or seven weeks to issue entry visas to the UN Security Council. destruction of nuclear, biological and biological weapons. Chemical Weapons.	As you know, the Iraqi Government has refused to abide by United Nations Resolution 1284, and this is likely to lead, within the next six or seven weeks, to a refusal to issue entrance visas to the committee monitoring the destruction of nuclear, biological and chemical weapons.
main-captions	MSRvid	2012test	44	1	We must not forget it.	We must not forget it.
main-captions	MSRvid	2012test	46	0	And, of course, these policies need a budget, they must be given financial means.	And, of course, these policies need a budget, they need to be given financial teeth.
main-captions	MSRvid	2012test	47	0	So let's recognize the obvious and come back to proven prescriptions.	Let us therefore acknowledge the obvious and return to tried and tested prescriptions.
main-captions	MSRvid	2012test	48	0	What means will the Charter use to ensure a clear guarantee of gender equality?	What means will the Charter use to ensure that it clearly guarantees equality between the sexes?
main-captions	MSRvid	2012test	50	0	Shame on you, Monsieur Bertinotti!	Shame on you Mr Bertinotti!
main-captions	MSRvid	2012test	52	0	In any event, Mr. Vander Taelen admitted that he did not personally attend the incident.	Anyway, Mr Vander Taelen admitted he did not personally witness the incident.
main-captions	MSRvid	2012test	53	1	This morning, during the long debate I attended with President Prodi, many of you mentioned the democratic deficit, the distance from the European institutions.	This morning, in the long debate that I attended with President Prodi, many of you mentioned the democratic deficit, the distance from the European institutions.
main-captions	MSRvid	2012test	54	0	The creation of a European Public Prosecutor's Office and the definition of offenses common to all the countries of the Union is undoubtedly a good idea, but it is impossible to envisage putting it into practice without having first introduced a European legal system.	The establishment of a European Public Prosecutor' s Office and the definition of offences common to all countries of the Union is doubtless a good idea, but it is impossible to consider putting this into practice without having first introduced a European legal system.
main-captions	MSRvid	2012test	55	0	We share these expectations, but we would also like to congratulate the concrete results achieved.	We share these expectations but we should also like to be able to congratulate the practical results achieved.
main-captions	MSRvid	2012test	56	0	Parliament has taken note of your comments.	Parliament has taken due note of your comments.
main-captions	MSRvid	2012test	57	1	I think that's very important and I would like to have an answer from the Council.	I think it's quite important and I would like to get an answer from the Council.
main-captions	MSRvid	2012test	58	0	INTERREG credits can be used to make our regions real bridges of the European Union leading to these geographical areas, which gives it a global reach.	INTERREG appropriations may be used to make our regions into veritable European Union bridgeheads into these geographical areas, giving it worldwide scope.
main-captions	MSRvid	2012test	59	0	I hope I do not have to sit in such a parliament.	I hope I do not have to sit in such a Parliament.
main-captions	MSRvid	2012test	61	0	Mr President, the 12th of August 1949 was marked by a red stone by the ancient Romans.	Mr President, 12 August 1949 is a day which the ancient Romans would have said should be marked with a red stone.
main-captions	MSRvid	2012test	62	0	In this context, we join the rapporteur in thinking that special provisions on subsidies are valid as long as these market-distorting subsidies persist elsewhere.	In that context we join with the rapporteur in feeling that some kind of special provisions concerning subsidies are merited as long as those market distorting subsidies continue elsewhere.
main-captions	MSRvid	2012test	64	0	The Commission does not have enough staff.	The Commission does not have enough staff.
main-captions	MSRvid	2012test	65	0	First of all, we need strict regulations, which can be implemented.	First of all, we need tough regulations, which can be implemented.
main-captions	MSRvid	2012test	68	0	I am telling you all this to illustrate how complex the problem is and I thank the Commission again for extending its analysis of the situation as much as possible.	I am telling you all of this to illustrate how complex the problem is, and I thank the Commission once again for extending their analysis of this situation as far as it could.
main-captions	MSRvid	2012test	69	1	This item of the agenda is closed	This item of the agenda is closed.
main-captions	MSRvid	2012test	70	0	The Commission stated that 1999 would be the year of the fight against violence against women.	The Commission declared 1999 to be the year for combating violence against women.
main-captions	MSRvid	2012test	71	0	Mr President, today we discussed at the Commission a number of issues, including the broad economic policy guidelines which were the subject of a statement by my colleague, Commissioner Solbes, during the afternoon, elsewhere in Parliament.	Mr President, we discussed a number of issues in the Commission today, including the broad economic policy guidelines which have been the subject of a statement by my colleague Commissioner Solbes elsewhere in Parliament during the course of the afternoon.
main-captions	MSRvid	2012test	72	0	The energy situation varies considerably from one region of the European Union to another. Support from the Structural Funds could be justified in certain cases and for certain regions, particularly in cases where the connection to basic energy networks is still underdeveloped.	The energy situation varies widely from region to region in the European Union. Assistance from the Structural Funds could be justified in certain cases and for certain regions, particularly in the case where the connection to basic energy networks is still underdeveloped.
main-captions	MSRvid	2012test	73	1	That is why I strongly encourage the establishment of the high-level group proposed by the Commission, but also to go further and set up a process based on the Luxembourg process so that we have an integrated approach to this issue in the field of social protection. protection.	This is why I urge that we set up the High Level Group, as proposed by the Commission, but also that we go further and that we have a process based on that of Luxembourg so that we had an integrated approach to this issue related to social protection.
main-captions	MSRvid	2012test	75	1	For its part, the European Union, with its hypocritical interest in freedom and human rights, has never been affected by the tragic plight of the Cypriot people, the problem of Turkish Cypriot refugees and Greek Cypriot refugees. , the abrupt change in the demographic makeup of northern Cyprus, the massive settlement of Turkish settlers in the occupied territories.	For its part, the European Union, with its hypocritical interest in freedom and human rights, has never been affected by the plight of the Cypriot people, the problem of Turkish Cypriot refugees and Greek Cypriot refugees. , the abrupt change in the demographic makeup of northern Cyprus, the massive settlement of settlers from Turkey into the occupied territories.
main-captions	MSRvid	2012test	77	1	The Socialist Group calls on the Commission to include a statement on its strategic objectives for the next five years, as well as on the administrative reform of the Commission.	The Socialist Group asks to include a statement by the Commission on its strategic objectives for the next five years, as well as on the administrative reform of the Commission.
main-captions	MSRvid	2012test	78	1	The result is there.	The result is there.
main-captions	MSRvid	2012test	80	0	Secondly, I must say that on issues of political responsibility, the Council refuses to learn from and to be pressured by something that has much more to do with the internal quibble of Portuguese national policy than appropriately with questions. background.	Secondly, I must say that, on questions of political responsibility, the Council refuses to be given lessons and be subjected to pressure by something that has much more to do with the internal chicanery of Portuguese national politics than properly with matters of substance.
main-captions	MSRvid	2012test	81	1	I warmly welcome the Commission's support for this bicentennial and federal Cyprus, a strange country for which the United Nations has long campaigned, and for the creation of which both Greek Cypriots and Cypriot Turks should work.	I very much welcome the Commission's support for this bizarre, bicommunal and federal Cyprus for which the United Nations has so long campaigned, and for the creation of which both Cypriot Greeks and Cypriot Turks should work.
main-captions	MSRvid	2012test	83	1	I do not regret to say that the massive overvaluation of the pound sterling, which gives the Labor Party Chancellor of the United Kingdom a special election fund of unprecedented proportions, is a handicap for all Welsh and English manufacturers trying to export their products to the market.	I am not sorry to say that the massive overvaluation of the pound sterling, which gives the Labor Party Chancellor of the United Kingdom a special election fund of unprecedented proportions, is a handicap for all Welsh and English manufacturers trying to export their products to the European market.
main-captions	MSRvid	2012test	84	0	The question is, are you ready to listen when something is worrying and we need your support urgently?	The question is whether you are willing to lend us an ear when something gives us cause for concern and we urgently need your support.
main-captions	MSRvid	2012test	85	1	In the field of science, research and all the other policies of the European Union, we must integrate the gender dimension in order to put an end to structural discrimination preventing women from competing in the labor market. an equal footing.	In science, research and all the other policies of the European Union, we have to integrate the gender dimension to put an end to the structural discrimination that prevents women from competing on the labor market on equal terms.
main-captions	MSRvid	2012test	86	1	In terms of sanctions and embargo, there are also shocking examples.	In terms of sanctions and embargo, there are also shocking examples.
main-captions	MSRvid	2012test	87	1	What information ! In small print, in an incomprehensible language, on the back of the parcels.	What information ! In tiny characters, in incomprehensible language, on the back of the packages.
main-captions	MSRvid	2012test	89	0	(PT) Mr President, Commissioner, ladies and gentlemen, many of us have repeatedly called for the creation of the European Refugee Fund.	-- (PT) Mr President, Commissioner, ladies and gentlemen, many of us have repeatedly called for the European Refugee Fund to be established.
main-captions	MSRvid	2012test	90	0	One Commissioner per Member State seems to us a much better solution.	One Commissioner per Member State seems a much better solution to us.
main-captions	MSRvid	2012test	93	0	It is by returning to the principle of meritocracy that we will improve quantitatively and qualitatively the presence of women in the decision-making process, quantitatively and qualitatively.	It is by reviving the principle of meritocracy that we shall improve in quantity and quality the presence of women in the decision-making process in quantity and quality.
main-captions	MSRvid	2012test	94	1	As usual, we have had many debates on countries at war.	We have, as usual, conducted many debates on countries at war.
main-captions	MSRvid	2012test	99	1	In France, 95% of elected officials are municipal councilors.	In France, 95% of elected officials are municipal councilors.
main-captions	MSRvid	2012test	101	0	As you know, accounts that do not offer a true picture can be called other than accounts.	As you know, accounts which do not offer a true picture can be called anything but accounts.
main-captions	MSRvid	2012test	102	1	The exact composition of the cargo remains strangely uncertain.	The exact composition of the cargo is strangely still unclear.
main-captions	MSRvid	2012test	104	0	Indeed, this practice is responsible for a high mortality rate and is therefore incompatible with good management of the fishery.	In effect, this practice is responsible for a high death rate and is therefore incompatible with good fisheries management.
main-captions	MSRvid	2012test	105	1	The annual debate on these subjects is a directive for the basic political orientation of the European Union.	The annual debate on these topics is directive for the basic political orientation of the European Union.
main-captions	MSRvid	2012test	106	1	But the meeting of information technologies and tourism in its attributions is very happy.	But the meeting of information technologies and tourism in his attributions is very happy.
main-captions	MSRvid	2012test	108	1	Or is it fair that you only endorse a liability as presented in your white paper, that is to say only for Natura 2000 areas, ie without having to subscribe insurance?	Or is it fair that you only endorse a liability as it is presented in your White Paper, ie only for the Natura 2000 areas, ie without having to have insurance?
main-captions	MSRvid	2012test	109	1	2 - puts the incineration and co-incineration plants in parallel with the limit values ​​and puts an end to their former exception regime;	2 - puts the incineration and co-incineration plants in parallel with the limit values, putting an end to their former exception regime;
main-captions	MSRvid	2012test	110	0	My second brief remark is to thank the Portuguese Presidency, in particular Mr Seixas da Costa, for its proactive approach.	My second brief comment is to thank the Portuguese Presidency, particularly Mr Seixas da Costa, for his proactive approach.
main-captions	MSRvid	2012test	111	0	We must specify that Europe has a cultural identity based on our Greek and Judeo-Christian heritage and on enlightenment, which freely enters into dialogue with other identities.	We must make it clear that Europe does have a cultural identity, based on our Greek and Judo-Christian heritages and on enlightenment, which enters freely into dialogue with other identities.
main-captions	MSRvid	2012test	112	0	If the European Union does not act quickly to redress the situation, from a demographic point of view as well as from a social, economic and political point of view, we will create an explosive situation for future generations.	If the European Union does not act quickly to redress the balance of this situation, both from a demographic point of view and from a social, economic and political point of view, we will be creating an explosive situation for future generations to deal with.
main-captions	MSRvid	2012test	113	1	I would like to express my condolences to all the citizens and regions affected by the storm and at the same time stress the importance of the assistance provided to this House. and their populations.	I would like to express my sympathy to all citizens and regions in which the storm blew so cruelly and insist, at the same time, to this House on the importance of helping these regions. and their populations.
main-captions	MSRvid	2012test	114	1	Member States can model their own system in the social field, each according to its economic resources and political preferences.	Member States can model their own system in the social field, each according to its economic resources and political preferences.
main-captions	MSRvid	2012test	115	1	We have certainly played our part in solving this problem and I sincerely hope that we will now have a soft landing and peaceful implementation of this agreement in the years to come.	We have certainly fulfilled our role in solving this problem, and I sincerely hope that we will now have a smooth landing and peaceful implementation of this agreement in the years to come.
main-captions	MSRvid	2012test	116	0	This should be encouraged so that women have the opportunity to obtain leadership positions or to hold positions of responsibility in the environmental field.	This state of affairs must be encouraged so that women have a chance to secure managerial posts or reach high-ranking positions in the environmental field.
main-captions	MSRvid	2012test	117	0	We just have to make sure it's used.	We just need to make sure that it is used.
main-captions	MSRvid	2012test	118	1	We must now consider to what extent this disaster will reduce Mozambique, which depends on the quality and quantity of international aid provided to that affected country.	We should now consider to what extent this disaster is going to roll back Mozambique, which depends on the quality and quantity of international aid for this stricken country.
main-captions	MSRvid	2012test	119	1	Some of the opportunities offered by this emerging market, which we see emerging in the European Union, will be affected by some of the suggestions in question.	Some of the opportunities offered by this emerging market, which we are seeing emerging in the European Union, will be affected by some of the suggestions in question.
main-captions	MSRvid	2012test	120	1	The same applies to Regulation 1257/99.	The same is true of Regulation 1257/99.
main-captions	MSRvid	2012test	121	1	Subsidies, monopolies and barriers to competition continue to hinder markets and economic development per se.	Subsidies, monopolies and barriers to competition continue to hinder markets and economic development per se.
main-captions	MSRvid	2012test	123	1	Once again, I would like to thank all those who contributed to this conciliation process.	Once again, I would like to thank all those who contributed to this conciliation process.
main-captions	MSRvid	2012test	125	0	The supposed progress made in 1999 and mentioned in the report only occurred in the Dublin Conventions and Schengen Agreements and in another Tampere Action Plan which restricted all the rights of immigrants.	The supposed progress achieved in 1999 and mentioned by the report only occurred in the Dublin Conventions and Schengen Agreements and a further action plan from Tampere which all restrict the rights of immigrants.
main-captions	MSRvid	2012test	126	1	In his report, he scathingly denounces all the dysfunctions of our institutions.	In his report, he scathingly denounces all the dysfunctions of our institutions.
main-captions	MSRvid	2012test	129	0	Mr President, the amendments of the Committee on the Environment, Public Health and Consumer Policy generally emphasize the high levels of environmental protection. That is why many of these amendments are acceptable.	Mr President, the amendments by the Committee on the Environment, Public Health and Consumer Policy underline generally the high levels of environmental protection, and for that reason many of these amendments are acceptable.
main-captions	MSRvid	2012test	130	1	We must therefore take the time to think carefully about what we are doing.	We must therefore take the time to think carefully about what we are doing.
main-captions	MSRvid	2012test	131	1	For us, we must above all create a more social Europe, create a Europe of equal opportunities and increase the security and quality of life in Europe.	For us, it must above all be about shaping a more social Europe, creating a Europe of equal opportunities and increasing the security and quality of life in Europe.
main-captions	MSRvid	2012test	132	1	The airports of Liège and Maastricht are within a radius of 200 km.	Within a radius of just 200 km, there are the airports of Liège and Maastricht.
main-captions	MSRvid	2012test	133	0	Consumers and buyers have their own codes and have built their trust on the logos they know.	Consumers and buyers have their own codes and have built up their confidence on the logos which they know.
main-captions	MSRvid	2012test	135	1	A very important part of our drinking water, a third, is produced from surface water.	A very important part of our drinking water, a third, is produced from surface water.
main-captions	MSRvid	2012test	136	0	The universality of human rights shows that the degree of application of these rights has become a measure of progress, civilization and culture in politics and society.	The universality of human rights shows that the degree to which they are applied has become a measure of progress, civilisation and culture in politics and society.
main-captions	MSRvid	2012test	138	1	We will look into this problem and we will check all the translations.	We will look into this problem and we will check all the translations.
main-captions	MSRvid	2012test	141	1	Second concern: the driving role of the European Parliament, recalled by Jo Leinen.	Second concern: the driving role of the European Parliament that Jo Leinen recalled.
main-captions	MSRvid	2012test	142	0	I would therefore ask Parliament and the Commission to give their full attention to this issue.	I would therefore ask Parliament and the Commission to give the matter their full attention.
main-captions	MSRvid	2012test	143	0	Since then, of course, this supposedly federated Europe is more than ever funded as the banal intergovernmental organization it is in reality, but it refuses to consider itself as such.	Since then, of course, this Europe with pretensions to federalism is now more than ever financed like the commonplace intergovernmental organisation it actually is, but which it refuses to see itself as.
main-captions	MSRvid	2012test	144	1	We would do well to know it.	We would do well to be aware of it.
main-captions	MSRvid	2012test	145	1	They will have a greater choice of products and specific and relevant labeling.	They will have a greater choice of products and specific and relevant labeling.
main-captions	MSRvid	2012test	148	1	The agreement reached today, however, should not be seen as a step back from the Delors agreement.	The agreement reached today, however, should not be seen as a step backwards from the Delors agreement.
main-captions	MSRvid	2012test	149	0	I also do not think that motorcycles should be included, because the distinct culture of recycling in the motorcycle industry avoids the need for a European directive in this area.	Nor do I think that motorcycles should be included, as the distinctive culture of recycling within the motorcycle industry obviates the need for a European directive in this area.
main-captions	MSRvid	2012test	151	1	I strongly believe that all pension plans should be covered by the same directive to prevent certain types of plans from being protected from competition.	I firmly believe that all pension schemes should be covered by the same directive in order to avoid certain types of schemes being protected from competition.
main-captions	MSRvid	2012test	152	0	This would be an obvious distortion of the market.	This would be a clear distortion of the market.
main-captions	MSRvid	2012test	154	0	In addition, I will only highlight the most important ones.	Moreover, I shall only highlight the most important ones.
main-captions	MSRvid	2012test	155	0	Constraints have been identified in this terrible disaster.	Constraints have been identified in this terrible disaster case.
main-captions	MSRvid	2012test	157	0	I am extremely worried.	I am extremely concerned.
main-captions	MSRvid	2012test	158	1	To do this, I must also have the courage, in my opinion, to amend Article 4 of the EC Treaty, which defines the Union, in the classic neoliberal tradition, as an open market economy where competition is free. as well as Article 105 of the EC Treaty, since the European Central Bank must finally respect its Treaty mandate of promoting, through its monetary policy, sustainable growth and employment.	To do this, I must also have the courage, in my opinion, to amend Article 4 of the EC Treaty, which defines the Union, in the classic neoliberal tradition, as an open market economy where competition is free. as well as Article 105 of the EC Treaty, since the European Central Bank must finally respect its Treaty mandate of promoting, through its monetary policy, sustainable growth and employment.
main-captions	MSRvid	2012test	160	1	Human rights, racism, xenophobia and anti-Semitism	Human rights, racism, xenophobia and anti-Semitism
main-captions	MSRvid	2012test	161	0	The Commission considers that the appropriate limit is usually around 0.5 mg per mile, which in some cases would, for example, reduce the number of new drivers, at least for a given period, and make it even more more restrictive.	The Commission considers the suitable limit to be, in general, around 0.5 mg per mille, which in certain cases, new drivers, for example, could possibly be reduced, at least for a specific time period, and thereby make it even more restrictive.
main-captions	MSRvid	2012test	163	0	This is how we have to look at the Charter of Fundamental Rights.	This is how we must see the Charter of Fundamental Rights.
main-captions	MSRvid	2012test	164	1	B5-0214 / 00 by Mr Bautista Ojeda, on behalf of the Verts / ALE Group, to the Council;	B5-0214 / 00 by Mr Bautista Ojeda, on behalf of the Verts / ALE Group, to the Council;
main-captions	MSRvid	2012test	165	0	This report is an awakening in Europe.	This report is a wake-up call to Europe.
main-captions	MSRvid	2012test	166	1	This was the formal explanation of vote.	This was the formal explanation of vote.
main-captions	MSRvid	2012test	167	0	Airport complexes are a hive of intense and attractive economic activity; our intention to preserve jobs, reaffirmed in Lisbon, means that we have no right to avoid this problem.	Airport complexes are hives of intense economic activity and appeal; our intention to preserve jobs, reasserted in Lisbon, means that we do not have the right to avoid this issue.
main-captions	MSRvid	2012test	168	0	(The location was suspended at 8:10 pm and resumed at 9:00 pm)	(The siting was suspended at 8.10 p.m. and resumed at 9.00 p.m.)
main-captions	MSRvid	2012test	172	0	In the context of pre-accession assistance to the region, it may be possible to redirect some of the assistance provided by ISPAR and PHARE to cope with the most serious consequences of this accident, as long as the principle of polluter pays is fully respected.	In the context of pre-accession aid to the region it may be possible to redirect some of the assistance we are giving under ISPAR and PHARE to tackle the most severe impact of this accident, as long as the polluter-pays principle is fully respected.
main-captions	MSRvid	2012test	175	1	Second, to fight, police and justice need a better understanding of the Internet and associated digital technologies.	Second, in order to fight, police and justice need better knowledge about the Internet and related digital technologies.
main-captions	MSRvid	2012test	176	0	I will come back to this question, although I must say that the setting up of two PHARE programs is likely to create a real confusion.	I will take another look at the issue, although I should point out that having two PHARE programmes up and running risks real confusion.
main-captions	MSRvid	2012test	178	0	It is wonderful that there is so much interest in this area. I think it is important that in the European Parliament we now have to promote a better understanding of these complex and exciting developments and prepare ourselves to implement the necessary changes.	It is wonderful that there should be such a lot of interest in this area. I believe it is important that, here in the European Parliament, we should now promote further knowledge of these complex and exciting developments and create a readiness to implement the necessary changes.
main-captions	MSRvid	2012test	179	1	With regard to Commissioner Prodi's statement this morning, I have an observation to make, not a criticism, that she was a little weak on the actual content of economic policy.	I have an observation, not a criticism, to make with regard to Commissioner Prodi's statement this morning, that she was a little weak on the actual content of economic policy.
main-captions	MSRvid	2012test	180	0	The emphasis on the principle of political precaution means that we have been discussing it for almost two hours and that this subject is now considered, so to speak, as more than a mere aspect of the administration, even though, as we have seen interventions, questions and answers, which is, in our view, of considerable importance.	The focus on the political precautionary principle means that we have being discussing it for almost two hours and this topic is now being viewed, so to speak, as more than an ordinary aspect of administration, even though, as we have been able to establish from the interventions, questions and replies, it is a topic which we believe to be of considerable importance.
main-captions	MSRvid	2012test	182	0	The Commission considers that the Community must be able to adopt by qualified majority the measures most directly related to the proper functioning of the internal market.	The Commission considers that the Community must be able to adopt, by qualified majority, those measures which are most directly linked to the proper operation of the internal market.
main-captions	MSRvid	2012test	184	1	Many of us do not support the abolition of the principle of the death penalty.	Many of us do not support the abolition of the principle of the death penalty.
main-captions	MSRvid	2012test	185	1	It was believed that our freedoms were endangered by Mr. Haider's Austria.	It was believed that our freedoms were endangered by Mr Haider 's Austria.
main-captions	MSRvid	2012test	187	0	There is another reason, more technical, involving subtle points.	There is another, more technical reason, involving some subtle points.
main-captions	MSRvid	2012test	188	0	The EQUAL initiative is not limited to certain groups of people.	The EQUAL initiative is not restricted to certain groups of people.
main-captions	MSRvid	2012test	190	0	The controls are useless in all cases, because we are told that the margin of error is 1%, while scientists tell us that it is actually 40%.	The checks are pointless in any case, as we are told that the margin of error is 1%, whereas scientists tell us that it is in fact 40%.
main-captions	MSRvid	2012test	191	0	That's absolutely right, Mr. Heaton-Harris. I put the question to the show of hands because none of the groups had asked to vote by roll call.	That is quite right, Mr Heaton-Harris. I put the matter to a vote by a show of hands because none of the groups had requested voting by roll call.
main-captions	MSRvid	2012test	192	1	Not only are they a constant and dangerous threat to life, they also hinder economic development and the implementation of a series of community-based reconstruction, rehabilitation and development programs.	Not only are they a constant and treacherous threat to life, they also hinder economic development and the implementation of a series of community-based programs for reconstruction, rehabilitation and development.
main-captions	MSRvid	2012test	193	1	Mr Langen pointed out that, on the substance, a number of points and requirements put forward by Parliament had been taken up and that, as regards the essential difference between us and the Council, namely the financial envelope of this multi-year program for the promotion of renewable energies As we have already said, we have all been able, as we have already said, to find ourselves almost half way to the Council.	Mr Langen pointed out that, on the substance, a number of points and requirements put forward by Parliament had been taken up and, as regards the essential dispute which opposed us to the Council, namely the financial envelope of this multiannual program of promotion of renewable energy sources, we have all been able - as we have already said - to find ourselves almost half way with the Council.
main-captions	MSRvid	2012test	195	0	We must also examine the case of Japan because it contains lessons for Europe in terms of organization of work and the role of the State, enterprises and workers themselves in their objectives.	We must also look at the case of Japan because it holds lessons for Europe in terms of the organisation of work and the role of the state, of businesses and of the workers themselves in business objectives.
main-captions	MSRvid	2012test	196	0	The fact that it has continued despite overwhelming pressure from many quarters, including the WTO, is a triumph.	That it has continued at all in the face of overwhelming pressure against it from many quarters, including the WTO, is a triumph of sorts.
main-captions	MSRvid	2012test	198	1	I fear that we are now heading towards the opposite, towards a European closure and an apartheid.	I fear that we are now moving towards the opposite, towards a European closure and apartheid.
main-captions	MSRvid	2012test	199	0	Akin Birdal was free at the time because of what was called "poor health".	Akin Birdal was free at just that particular time because of what was termed 'ill health' .
main-captions	MSRvid	2012test	200	1	The second question concerns the role of the European Parliament and we must recognize that it is too limited today.	The second question concerns the role of the European Parliament, and it must be acknowledged that today it is too limited.
main-captions	MSRvid	2012test	201	1	I would like to thank the honorable Member, before mentioning in his question one of the poorest countries in Europe, also to point out that the responsibility for this horrible crime lies with those who pay for it and ask for it.	I would be grateful to the honorable Member, before mentioning in his question one of the poorest countries in Europe, also to point out that the actual responsibility for this horrible offense rests with those who pay for it and are applicants.
main-captions	MSRvid	2012test	202	0	The political crisis that led to the fall of the Commission earlier this year has clearly demonstrated the need for unambiguous and applicable rules of conduct.	The political crisis which led to the downfall of the Commission earlier this year clearly demonstrated the need for unambiguous and enforceable rules of conduct.
